radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
UMTS,639,2,46016,137731888,0,34.72709656,0.110549927,1000,1,1,1473322112,1473299226,0,Vihiga,Sabatia Sub County,Chavakali Ward
UMTS,639,2,46016,137731896,0,34.72709656,0.013046265,1000,2,1,1473322112,1476791010,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
UMTS,639,2,46016,137738440,0,34.73671,0.12291,1000,2,1,1473322112,1475063817,0,Vihiga,Sabatia Sub County,West Sabatia Ward
UMTS,639,2,46016,137737216,0,34.72709656,0.024032593,1000,1,1,1473322112,1473299226,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
UMTS,639,2,46016,137738442,0,34.73121643,0.116043091,1000,2,1,1473322112,1475063817,0,Vihiga,Sabatia Sub County,West Sabatia Ward
UMTS,639,2,46016,137750271,0,34.72709656,0.026779175,1000,1,1,1473322112,1473299226,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
UMTS,639,2,46016,137737218,0,34.72641,0.010986,1000,2,1,1473322112,1476791010,0,Vihiga,Hamisi Sub County,Jepkoyai Ward
UMTS,639,2,46016,137731976,0,34.72572327,0.110549927,1000,1,1,1473322112,1473299226,0,Vihiga,Sabatia Sub County,Chavakali Ward
UMTS,639,2,46016,137713320,0,34.78889465,0.120162964,1000,1,1,1473322112,1473299262,0,Vihiga,Sabatia Sub County,Wodanga Ward
UMTS,639,2,46016,137738911,0,34.72434998,0.04737854,1000,1,1,1473322112,1473299226,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
UMTS,639,2,46016,137713321,0,34.78889465,0.120162964,1000,1,1,1473322112,1473299262,0,Vihiga,Sabatia Sub County,Wodanga Ward
UMTS,639,2,46016,137738447,0,34.73258972,0.12840271,1000,1,1,1475086153,1475063817,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,7,14207,2061,0,34.847946,0.131836,1000,2,1,1475196333,1481171319,0,Vihiga,Hamisi Sub County,Muhudu Ward
UMTS,639,2,49331,137734036,0,34.56642151,0.085830688,1000,1,1,1475507509,1475485379,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,49331,137732108,0,34.58015442,0.066604614,1000,1,1,1475507509,1475485379,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5067,376,0,34.591141,0.020828,1000,3,1,1476540323,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5009,4980,0,34.62204,0.042572,4782,2,1,1477141520,1479276029,0,Vihiga,Luanda Sub County,Wemilabi Ward
GSM,639,2,5009,4984,0,34.58152771,0.056991577,1000,1,1,1477148720,1477125648,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,5554,137737217,0,34.73945618,-0.002059937,1000,1,1,1477406272,1477375000,0,Vihiga,Hamisi Sub County,Tambua Ward
GSM,639,3,47,12330,0,34.559555,0.043945,1000,2,1,1477821927,1491384677,0,Vihiga,Luanda Sub County,Mwibona Ward
UMTS,639,2,5554,137732057,0,34.848862,0.127487,1000,3,1,1478406401,1478489168,0,Vihiga,Hamisi Sub County,Muhudu Ward
UMTS,639,2,5554,137733568,0,34.89875793,0.15586853,1000,1,1,1478765221,1478741711,0,Vihiga,Hamisi Sub County,Shiru Ward
UMTS,639,2,5554,137713311,0,34.83558655,0.110549927,1000,1,1,1478765221,1478741711,0,Vihiga,Hamisi Sub County,Shamakhokho Ward
UMTS,639,2,5554,137713307,0,34.8122406,0.113296509,1000,1,1,1478765221,1478741711,0,Vihiga,Sabatia Sub County,Wodanga Ward
UMTS,639,2,5554,137732056,0,34.86717224,0.12840271,1000,1,1,1478765221,1478741711,0,Vihiga,Hamisi Sub County,Shiru Ward
UMTS,639,2,5554,137731887,0,34.73945618,0.124282837,1000,1,1,1478765221,1478741711,0,Vihiga,Sabatia Sub County,West Sabatia Ward
GSM,639,2,5106,2122,0,34.826889,0.172806,8099,3,1,1478765246,1490247170,0,Vihiga,Hamisi Sub County,Muhudu Ward
GSM,639,2,5068,3566,0,34.852982,0.138931,3734,3,1,1478765246,1490247170,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,7,14207,1251,0,34.757996,0.123253,6093,4,1,1479204008,1489747706,0,Vihiga,Sabatia Sub County,West Sabatia Ward
UMTS,639,2,5554,137731987,0,34.6598053,0.017166138,1000,1,1,1479308894,1479276055,0,Vihiga,Vihiga Sub County,Mungoma Ward
UMTS,639,2,5554,137731898,0,34.6598053,0.017166138,1000,1,1,1479308894,1479276055,0,Vihiga,Vihiga Sub County,Mungoma Ward
GSM,639,2,5009,626,0,34.649506,0.022659,1298,2,1,1479309296,1483391100,0,Vihiga,Vihiga Sub County,Mungoma Ward
GSM,639,2,5009,762,0,34.6598053,0.017166138,1000,1,1,1479309296,1479276029,0,Vihiga,Vihiga Sub County,Mungoma Ward
GSM,639,2,5009,4982,0,34.66117859,0.028152466,1000,1,1,1479309296,1479276029,0,Vihiga,Vihiga Sub County,Mungoma Ward
GSM,639,2,5067,1941,0,34.63461,0.02673,3038,6,1,1479309296,1492540200,0,Vihiga,Luanda Sub County,Emabungo Ward
GSM,639,2,5067,1945,0,34.63775,0.027158,2635,4,1,1479309296,1492540200,0,Vihiga,Luanda Sub County,Emabungo Ward
